student_id,certificate_name,issued_year
sv4097,mos, 2022
SV4053 ,ielts ,2023a
SV4025,IELTS, 2022
sv4035,Data Analyst,2023a
 SV4064,ielts ,2023a
SV4047,aws  ccp, 2022
 SV4077,MOS, 2022
 SV4034,aws  ccp,2021
SV4031,aws  ccp,2021
 SV4075,MOS,2023a
sv4020,aws  ccp,2023a
SV4001,mos, 2022
 SV4002,AWS CCP,2021
sv4093,IELTS,2023a
SV4091,ielts ,2023a
SV4033 ,ielts ,2021
 SV4036,ielts ,2023a
sv4026,data analyst,2021
SV4052 ,data analyst,2023a
SV4001,aws  ccp,2021
 SV4057,AWS CCP, 2022
SV4010,ielts ,2023a
SV4074,MOS,2023a
sv4070,IELTS, 2022
 SV4079,MOS, 2022
SV4037 ,MOS,2021
SV4094 ,IELTS,2021
 SV4090,MOS,2023a
SV4051,AWS CCP,2021
SV4004 ,ielts ,2023a
SV4086 ,IELTS,2023a
 SV4079,mos,2023a
SV4004 ,IELTS,2021
SV4066 ,data analyst,2021
SV4018 ,aws  ccp,2023a
sv4012,IELTS, 2022
SV4051,MOS,2023a
SV4019 ,AWS CCP,2021
SV4085,MOS,2021
 SV4045,aws  ccp,2023a
SV4047,mos, 2022
sv4011,ielts , 2022
SV4086 ,MOS, 2022
 SV4056,Data Analyst,2021
 SV4032,Data Analyst,2021
SV4031,IELTS,2023a
SV4099 ,ielts , 2022
 SV4057,MOS,2023a
sv4087,Data Analyst,2021
 SV4022,IELTS,2023a
 SV4040,Data Analyst,2021
sv4097,ielts ,2021
 SV4041,data analyst,2021
SV4018 ,aws  ccp, 2022
 SV4002,AWS CCP,2023a
 SV4090,MOS, 2022
 SV4067,IELTS,2021
sv4097,data analyst,2023a
SV4094 ,data analyst, 2022
 SV4064,AWS CCP, 2022
SV4088 ,Data Analyst,2021
SV4080,aws  ccp, 2022
sv4081,IELTS,2021
SV4003 ,MOS, 2022
 SV4077,Data Analyst,2021
 SV4040,aws  ccp,2021
 SV4034,IELTS,2021
sv4084,ielts ,2023a
 SV4022,Data Analyst,2021
sv4097,aws  ccp, 2022
 SV4007,MOS,2023a
 SV4045,aws  ccp,2021
SV4055 ,AWS CCP, 2022
SV4009,MOS, 2022
sv4059,mos, 2022
SV4089,Data Analyst,2023a
SV4058 ,AWS CCP,2021
SV4017,data analyst, 2022
sv4081,AWS CCP,2023a
SV4085,ielts ,2021
SV4089,IELTS,2021
SV4047,IELTS,2021
 SV4082,aws  ccp,2023a
 SV4022,aws  ccp,2021
 SV4079,aws  ccp,2021
SV4046 ,Data Analyst,2021
 SV4002,AWS CCP,2021
sv4071,aws  ccp, 2022
 SV4067,AWS CCP,2021
 SV4030,data analyst, 2022
SV4063,data analyst,2021
SV4058 ,Data Analyst,2021
sv4078,Data Analyst, 2022
SV4053 ,mos,2023a
sv4035,IELTS,2023a
 SV4044,data analyst,2023a
SV4076,AWS CCP,2023a
SV4051,mos,2023a
SV4054,MOS,2021
SV4086 ,mos, 2022
SV4042,AWS CCP,2021
 SV4067,data analyst,2021
SV4004 ,ielts ,2023a
 SV4064,ielts ,2021
SV4018 ,mos, 2022
 SV4056,Data Analyst, 2022
sv4084,ielts ,2021
SV4066 ,ielts ,2021
SV4004 ,Data Analyst,2023a
 SV4092,Data Analyst,2023a
 SV4030,mos,2023a
sv4073,IELTS, 2022
SV4094 ,AWS CCP,2021
SV4080,ielts ,2023a
 SV4036,data analyst, 2022
 SV4092,MOS, 2022
SV4006 ,Data Analyst,2021
sv4081,AWS CCP,2023a
SV4053 ,aws  ccp,2023a
SV4088 ,MOS, 2022
