student_id,job_title,salary,company,survey_year
 SV4077,Developer,"10,000,000đ",FPT,2022a
sv4081,Developer,800,viet tel,2022
 SV4067,Data Analyst,800,fpt ,2022
 SV4041,Developer,-500,FPT,2022
 SV4077,Tester,-500,viet tel, 2023
SV4039,Data Analyst,1200,vnpt,2023
 SV4056,Data Analyst,-500,fpt , 2023
 SV4057,Developer, 9.000.000 ,fpt ,2022
SV4080,Business Analyst,1000,Viettel,2022
SV4009,Data Analyst, 9.000.000 ,fpt ,2023
 SV4056,  developer ,800,vnpt,2022
SV4027,Developer,8.000.000,viet tel,2023
 SV4090,Developer,800,VNPT, 2023
SV4074,Data Analyst,"10,000,000đ",vnpt, 2023
SV4014 ,Business Analyst, 9.000.000 ,viet tel, 2023
SV4014 ,Data Analyst,-500,FPT, 2023
SV4085,Business Analyst,1200,VNPT, 2023
SV4025,  developer ,1000,vnpt,2023
SV4039,Developer, 9.000.000 ,Viettel,2022a
 SV4007,Data Analyst,-500,FPT,2022a
 SV4079,Data Analyst,-500,FPT,2023
sv4008,Business Analyst,-500,vnpt, 2023
sv4026,Data Analyst,1200,viet tel,2022a
SV4086 ,Data Analyst,1000,VNPT,2022
 SV4043,  developer ,"10,000,000đ",VNPT, 2023
SV4095 ,Data Analyst,8.000.000,Viettel,2023
SV4091,Data Analyst,800,FPT,2022a
SV4050 ,Tester,1000,vnpt,2022
sv4081,  developer ,1200,FPT,2022
SV4074,Data Analyst,8.000.000,vnpt,2023
 SV4023,Tester,1000,fpt , 2023
SV4047,  developer , 9.000.000 ,viet tel,2022a
SV4095 ,Developer,"10,000,000đ",Viettel,2022a
 SV4023,Developer,800,Viettel, 2023
SV4062 ,Tester, 9.000.000 ,vnpt, 2023
SV4010,Business Analyst,800,Viettel,2023
SV4028,Data Analyst,-500,fpt ,2022a
sv4035,  developer ,800,Viettel, 2023
sv4011,Tester, 9.000.000 ,viet tel,2023
SV4099 ,Developer,8.000.000,Viettel,2022
SV4027,  developer ,8.000.000,fpt ,2022
 SV4032,Data Analyst, 9.000.000 ,Viettel, 2023
SV4076,Tester,1200,FPT,2022
SV4068,Business Analyst,"10,000,000đ",vnpt, 2023
 SV4030,Developer,8.000.000,VNPT,2022
 SV4038,Tester,8.000.000,viet tel,2023
 SV4000,Data Analyst,8.000.000,Viettel,2022
 SV4007,Developer,1200,vnpt,2022a
SV4047,Developer,"10,000,000đ",VNPT,2022
 SV4034,  developer ,1200,VNPT,2023
 SV4000,Tester,-500,Viettel, 2023
SV4055 ,  developer , 9.000.000 ,vnpt, 2023
SV4031,Data Analyst,"10,000,000đ",vnpt,2022
sv4097,  developer , 9.000.000 ,FPT, 2023
 SV4023,Business Analyst,1000,VNPT,2022
sv4070,  developer , 9.000.000 ,fpt ,2023
SV4074,  developer ,1200,Viettel,2023
SV4031,Tester,-500,viet tel, 2023
 SV4022,  developer ,1000,viet tel, 2023
SV4061 ,Developer,1000,FPT, 2023
sv4008,Tester,1000,Viettel, 2023
sv4093,  developer ,-500,viet tel, 2023
SV4098 ,  developer ,"10,000,000đ",fpt , 2023
SV4016 ,  developer ,1000,VNPT,2022
 SV4034,Developer,8.000.000,Viettel, 2023
SV4058 ,Tester, 9.000.000 ,VNPT, 2023
SV4017,Tester,8.000.000,fpt ,2023
 SV4030,Tester,1000,VNPT,2022a
SV4050 ,Developer,-500,FPT, 2023
SV4009,Tester,"10,000,000đ",fpt ,2023
 SV4036,  developer ,1200,Viettel,2023
SV4063,Business Analyst, 9.000.000 ,fpt , 2023
SV4062 ,Data Analyst,800,vnpt,2023
 SV4030,Business Analyst,1000,Viettel,2023
SV4039,Tester,-500,viet tel, 2023
 SV4090,Tester,1200,VNPT,2022a
sv4078,  developer ,"10,000,000đ",FPT, 2023
 SV4040,Developer,"10,000,000đ",FPT,2022a
SV4001,Data Analyst,-500,fpt ,2023
sv4087,Developer,"10,000,000đ",Viettel, 2023
